Scancode,SPDX-ID,DEPRECATED



Apache 2.0,Apache-2.0,
"The Apache Software License, Version 2.0",Apache-2.0,
"Apache License, Version 2.0",Apache-2.0,

AGPL 3.0 or later,AGPL-3.0-or-later,
BSD-3-Clause,BSD-3-Clause,

EPL 2.0,EPL-2.0,

GPL 2.0 or later,GPL-2.0-or-later,
Classpath exception to GPL 2.0 or later,GPL-2.0-with-classpath-exception,Yes - https://spdx.org/licenses/GPL-2.0-with-classpath-exception.html
GPL 3.0,GPL-3.0-only,
GPL 3.0 only,GPL-3.0-only,
GPL 3.0 or later,GPL-3.0-or-later,
LGPL 3.0 or later,LGPL-3.0-or-later,

MIT License,MIT,


,,
MPL 2.0,MPL-2.0,
unknown,unknown
,,
,,
Still not found in projects,,
GPL 2.0 only,GPL-2.0-only,
,,
,,
